category,generic_name_or_common_combination
Pain / Fever / Inflammation,Paracetamol (Acetaminophen)
Pain / Fever / Inflammation,Ibuprofen
Pain / Fever / Inflammation,Diclofenac
Pain / Fever / Inflammation,Aceclofenac
Pain / Fever / Inflammation,Naproxen
Pain / Fever / Inflammation,Mefenamic acid
Pain / Fever / Inflammation,Etoricoxib
Pain / Fever / Inflammation,Indomethacin
Pain / Fever / Inflammation,Ketorolac
Pain / Fever / Inflammation,Tramadol
Pain / Fever / Inflammation,Tapentadol
Pain / Fever / Inflammation,Aspirin
Pain / Fever / Inflammation,Serratiopeptidase
Pain / Fever / Inflammation,Thiocolchicoside
Antibiotics / Antibacterials,Amoxicillin
Antibiotics / Antibacterials,Amoxicillin + Clavulanic acid
Antibiotics / Antibacterials,Azithromycin
Antibiotics / Antibacterials,Cefixime
Antibiotics / Antibacterials,Cefuroxime
Antibiotics / Antibacterials,Cefpodoxime
Antibiotics / Antibacterials,Ceftriaxone
Antibiotics / Antibacterials,Cefalexin (Cephalexin)
Antibiotics / Antibacterials,Doxycycline
Antibiotics / Antibacterials,Ofloxacin
Antibiotics / Antibacterials,Ciprofloxacin
Antibiotics / Antibacterials,Levofloxacin
Antibiotics / Antibacterials,Metronidazole
Antibiotics / Antibacterials,Tinidazole
Antibiotics / Antibacterials,Linezolid
Antibiotics / Antibacterials,Clindamycin
Antibiotics / Antibacterials,Co-trimoxazole (Trimethoprim + Sulfamethoxazole)
Antibiotics / Antibacterials,Nitrofurantoin
Antibiotics / Antibacterials,Fosfomycin
Antibiotics / Antibacterials,Rifaximin
Antibiotics / Antibacterials,Faropenem
Antibiotics / Antibacterials,Meropenem
Antibiotics / Antibacterials,Piperacillin + Tazobactam
Antibiotics / Antibacterials,Moxifloxacin
Antifungal / Antiviral / Antiparasitic,Fluconazole
Antifungal / Antiviral / Antiparasitic,Itraconazole
Antifungal / Antiviral / Antiparasitic,Terbinafine
Antifungal / Antiviral / Antiparasitic,Clotrimazole
Antifungal / Antiviral / Antiparasitic,Ketoconazole
Antifungal / Antiviral / Antiparasitic,Acyclovir
Antifungal / Antiviral / Antiparasitic,Valacyclovir
Antifungal / Antiviral / Antiparasitic,Albendazole
Antifungal / Antiviral / Antiparasitic,Mebendazole
Antifungal / Antiviral / Antiparasitic,Ivermectin
Antifungal / Antiviral / Antiparasitic,Permethrin
Antifungal / Antiviral / Antiparasitic,Praziquantel
Antifungal / Antiviral / Antiparasitic,Diethylcarbamazine
